"fmisid","region","iso2","name","latitude","longitude"
104076,"Vantaa","FI","Vantaa Kehä III Varisto",60.2817993,24.8246098
104036,"Vantaa","FI","Vantaa Kivistö",60.3170013,24.8401508
104051,"Vantaa","FI","Vantaa Koivuhaka",60.2877998,25.0018196
104011,"Vantaa","FI","Vantaa Korso",60.3499184,25.0718098
104048,"Vantaa","FI","Vantaa Lentoasema",60.3143082,24.9727707
104242,"Vantaa","FI","Vantaa Martinlaakso",60.2796593,24.8452091
103990,"Vantaa","FI","Vantaa Myyrmäki",60.2639198,24.8491096
104063,"Vantaa","FI","Vantaa Myyrmäki2",60.2593689,24.8562393
104066,"Vantaa","FI","Vantaa Päiväkumpu",60.3235016,25.0921803
104021,"Vantaa","FI","Vantaa Ruskeasanta",60.3155289,25.0046196
104080,"Vantaa","FI","Vantaa Ruskeasanta 2",60.3120308,25.0110302
104341,"Vantaa","FI","Vantaa Sotunki",60.2746201,25.1356602
104342,"Vantaa","FI","Vantaa Tammisto 1",60.2706490,24.9680099
104033,"Vantaa","FI","Vantaa Tammisto 2",60.2704811,24.9692307
104359,"Vantaa","FI","Vantaa Tikkurila, Asematie",60.2934494,25.0397606
100763,"Vantaa","FI","Vantaa Tikkurila Neilikkatie",60.2899513,25.0395298
106951,"Vantaa","FI","Vantaa Tikkurila Talvikkitie",60.2950897,25.0331593
107281,"Vantaa","FI","Vantaa Ylästö",60.2780685,24.9071102
107382,"Varkaus","FI","Varkaus Kommila",62.3291016,27.8857002
107063,"Varkaus","FI","Varkaus Kommila terveyskeskus",62.3286018,27.8899994
103101,"Varkaus","FI","Varkaus Pääterveysasema",62.3295784,27.8893108
103986,"Varkaus","FI","Varkaus Psaari",62.3129883,27.8852501
103100,"Varkaus","FI","Varkaus Psaari 2",62.3139114,27.8869896
103102,"Varkaus","FI","Varkaus Taulumäki (toripaviljonki)",62.3178787,27.8681107
104191,"Varkaus","FI","Varkaus Vesilaitos",62.3220100,27.9075203
107028,"Vihti","FI","Vihti Nummela",60.3308182,24.3074799
104035,"Virolahti","FI","Virolahti Pajulahti/siirrettävä",60.5907707,27.7429409
104060,"Virolahti","FI","Virolahti urheilukenttä/siirrettävä",60.5869484,27.7280293
